index-of-output:	2	actual-response:	I'm not	number-of-repeats:	15
index-of-output:	14	actual-response:	I am a	number-of-repeats:	5
index-of-output:	15	actual-response:	I don't	number-of-repeats:	43
index-of-output:	17	actual-response:	No.	number-of-repeats:	9
index-of-output:	19	actual-response:	No, I	number-of-repeats:	13
index-of-output:	27	actual-response:	I'm going	number-of-repeats:	10
index-of-output:	31	actual-response:	Hi!	number-of-repeats:	2
index-of-output:	34	actual-response:	There is no	number-of-repeats:	9
index-of-output:	38	actual-response:	Yes, I	number-of-repeats:	17
index-of-output:	41	actual-response:	Thank you.	number-of-repeats:	5
index-of-output:	45	actual-response:	The restaurant is	number-of-repeats:	2
index-of-output:	56	actual-response:	It's a	number-of-repeats:	2
index-of-output:	58	actual-response:	There are many	number-of-repeats:	11
index-of-output:	68	actual-response:	Yes, we	number-of-repeats:	2
index-of-output:	82	actual-response:	Who is the	number-of-repeats:	4
index-of-output:	88	actual-response:	to you about something	number-of-repeats:	2
index-of-output:	103	actual-response:	It's just	number-of-repeats:	4
index-of-output:	105	actual-response:	No, you	number-of-repeats:	2
index-of-output:	106	actual-response:	The term "	number-of-repeats:	9
index-of-output:	135	actual-response:	I care about	number-of-repeats:	2
index-of-output:	138	actual-response:		number-of-repeats:	2
index-of-output:	151	actual-response:	This phrase is	number-of-repeats:	3
index-of-output:	153	actual-response:	I think that	number-of-repeats:	4
index-of-output:	161	actual-response:	I'm so	number-of-repeats:	2
index-of-output:	177	actual-response:	I'm sorry	number-of-repeats:	14
index-of-output:	185	actual-response:	.I don	number-of-repeats:	3
index-of-output:	187	actual-response:	It's not	number-of-repeats:	4
index-of-output:	199	actual-response:	This is not	number-of-repeats:	4
index-of-output:	200	actual-response:	Yes, you	number-of-repeats:	4
index-of-output:	202	actual-response:	That is a	number-of-repeats:	2
index-of-output:	203	actual-response:	This is an	number-of-repeats:	2
index-of-output:	213	actual-response:	1. The	number-of-repeats:	2
index-of-output:	218	actual-response:	We don't	number-of-repeats:	3
index-of-output:	228	actual-response:	I was just	number-of-repeats:	2
index-of-output:	231	actual-response:	me?""	number-of-repeats:	2
index-of-output:	241	actual-response:	Yes, absolutely	number-of-repeats:	2
index-of-output:	249	actual-response:	Bianca	number-of-repeats:	2
index-of-output:	264	actual-response:	What?	number-of-repeats:	2
index-of-output:	277	actual-response:	Yes	number-of-repeats:	2
index-of-output:	291	actual-response:	that?There	number-of-repeats:	2
index-of-output:	297	actual-response:	No, not	number-of-repeats:	3
index-of-output:	304	actual-response:	What do you	number-of-repeats:	3
index-of-output:	310	actual-response:	That's a	number-of-repeats:	2
index-of-output:	321	actual-response:	I can't	number-of-repeats:	3
index-of-output:	347	actual-response:	Hey.	number-of-repeats:	3
index-of-output:	365	actual-response:	"I don	number-of-repeats:	2
index-of-output:	381	actual-response:	This is a	number-of-repeats:	8
index-of-output:	395	actual-response:	Yes, that	number-of-repeats:	2
index-of-output:	400	actual-response:	Yes, it	number-of-repeats:	2
index-of-output:	458	actual-response:	Maybe.	number-of-repeats:	2
index-of-output:	483	actual-response:	I'm getting	number-of-repeats:	2
index-of-output:	505	actual-response:	I'm sorry."	number-of-repeats:	4
index-of-output:	593	actual-response:	Yes, the	number-of-repeats:	2
index-of-output:	611	actual-response:	I was right	number-of-repeats:	2
index-of-output:	687	actual-response:	I am not	number-of-repeats:	6
index-of-output:	704	actual-response:	No, he	number-of-repeats:	2
index-of-output:	722	actual-response:	I am grateful	number-of-repeats:	2
index-of-output:	727	actual-response:	No, we	number-of-repeats:	2
index-of-output:	767	actual-response:	I see a	number-of-repeats:	2
index-of-output:	833	actual-response:	Your colon is	number-of-repeats:	2
index-of-output:	845	actual-response:	Hello, my	number-of-repeats:	2
index-of-output:	851	actual-response:	sure?I	number-of-repeats:	2
