They do not!	0
They do to!	1
I hope so.	2
She okay?	3
Let's go.	4
Wow	5
Okay -- you're gonna need	6
No	7
I'm kidding.	8
Like my fear of wearing	9
The "real you".	10
What good stuff?	11
I figured you'd get to	12
Thank God!	13
Me.	14
What crap?	15
do you listen to this	16
No.	17
Then Guillermo says, "If you	18
You always been this selfish?	19
But	20
Then that's all you had	21
Well, no.	22
You never wanted to go	23
I was?	24
I looked for you back	25
Tons	26
Have fun tonight?	27
I believe we share an	28
You know Chastity?	29
Looks like things worked out	30
Hi.	31
Who knows?	32
So that's the kind of	33
Lesbian?	34
She's not a.	35
I'm workin' on it.	36
I really, really, really wanna	37
Sure have.	38
Eber's Deep Conditioner every two	39
How do you get your	40
You're sweet.	41
You have my word.	42
I counted on you to	43
You got something on your	44
Where?	45
There.	46
Well, there's someone I think	47
How is our little Find	48
Forget French.	49
That's because it's such a	50
I don't want to know	51
Right.	52
C'esc ma tete.	53
Let me see what I	54
Gosh, if only we could	55
That's a shame.	56
Unsolved mystery.	57
Why?	58
Seems like she could get	59
The thing is, Cameron --	60
Cameron.	61
No, no, it's my fault	62
Forget it.	63
You're asking me out.	64
Okay.	65
Not the hacking and gagging	66
Well, I thought we'd start	67
Can we make this quick?	68
I did.	69
You think you ' re	70
I don't have to be	71
I have to be home	72
All I know is --	73
Sometimes I wonder if the	74
Bianca, I don't think the	75
Combination.	76
Is he oily or dry?	77
He practically proposed when he	78
Would you mind getting me	79
Great	80
Joey.	81
Who?	82
Where did he go?	83
You might wanna think about	84
No.	85
Did you change your hair?	86
You know the deal.	87
Listen, I want to talk	88
You're concentrating awfully hard considering	89
Hi, Joey.	90
Hey, sweet cheeks.	91
My agent says I've got	92
Neat.	93
It's a gay cruise line,	94
Queen Harry?	95
So yeah, I've got the	96
Hopefully.	97
Exactly  So, you going	98
Expensive?	99
It's more	100
Perm?	101
Patrick -- is that- a.	102
It's just you.	103
Is that woman a complete	104
No!	105
What?	106
I just wanted --	107
You set me up.	108
Let go!	109
So did you	110
You looked beautiful last night,	111
I guess I'll never know,	112
