1	They do to!	The first thing you	6
2	I hope so.	I'm not sure	11
4	Let's go.	I'm going to	2
5	Wow	, I'm not sure if I'm going	3
8	I'm kidding.	I'm not going to tell	6
14	Me.	I'm not sure if you	9
15	What crap?	I'm not sure what	2
16	do you listen to this	?""I	2
17	No.	1,000,000,000,	7
19	You always been this selfish?	I'm	17
20	But	the most important thing is that you don't	2
24	I was?	"I'm not sure	2
31	Hi.	I'm sorry, but I'm not	2
32	Who knows?	I'm not sure if I'm	2
38	Sure have.	The problem is that the	4
41	You're sweet.	I'm not going to lie	3
45	Where?	The first thing you need to	17
46	There.	The first thing I noticed was	4
53	C'esc ma tete.	"	8
56	That's a shame.	I'm not sure if	9
58	Why?	The answer is that the answer	5
61	Cameron.	"I'm not going	11
62	No, no, it's my fault	. I	2
64	You're asking me out.	I'm not going	4
73	All I know is --	I'm not going to	8
76	Combination.	The first thing you need	2
90	Hi, Joey.	I'm sorry. I'm	5
93	Neat.	The first thing I noticed	5
101	Perm?	The answer is yes.	2
105	No!	I'm not going to tell you what	4
112	I guess I'll never know,	but I'm	2
114	God, you're just like him!		14
120	Why didn't you tell me?	I	12
135	I do care.	I'm not going to let	2
138	You're welcome.	I'm sorry,	3
142	Can we go now?	The answer is	6
150	What's normal?	"I'm not	14
151	You're ruining my life'	"I	17
152	I think you're a freak.	I'm not	20
161	I have a date, Daddy.	I'm going	2
163	Fine.	"I'm not going to	3
176	It's just a party.	It's not a	2
181	Otherwise known as an orgy?	The	9
195	Fan of a fan.	The first thing	6
199	You humiliated the woman!	"I'm	15
215	Will Bogey get bent?	The answer	2
219	You got him involved?	I don't	5
223	That's what I just said	. I'm not	2
249	Bianca Stratford.	The first	6
255	Couple thousand.	The first thing I	9
260	Yeah.	I'm not going to lie. I	6
276	Then, go get her	.I'm	2
291	And why would I do	that?I	2
293	Your sister here?	"I'm sorry	2
302	I don't know, Dorsey.	I don	2
304	Do what?	The answer is that the	3
391	Oh, Bianca?	I'm sorry, but	2
396	Besides, I had some extra	time to think about	2
438	Fallacy.	The first of the three	2
440	For.	The first thing I did was	6
452	A soft side?	The answer is yes	4
466	He left!	"I'm sorry,	2
504	Hey man.	I'm not going to lie.	4
536	That's what you want, isn't	it?"	2
539	Depends on the topic.	The following	2
542	I was in the laundromat.	I was	2
604	You think?	I think it's a	2
606	Cool pictures.	The first thing I did	3
611	You were right.	I'm not sure I'm	2
629	What is it with this	guy?I	2
691	Excellency, you are right.	I am	3
720	I don't want you to	be a part of	2
734	I am not a seaman.	I am not	3
739	My letters of appointment.	I am a	2
740	Yes.	I'm not sure if I'm going	4
773	What.	I'm not sure what to	2
780	Forgive me, Don Colon.	I'm sorry	2
848	So was Christ!	The first time I	2
851	How can you be so	sure that you're not	2
951	Yeah, yeah.	I'm not sure if I	2
