index-of-output:	0	actual-response:	The vast majority	number-of-repeats:	2
index-of-output:	1	actual-response:	I'm sure	number-of-repeats:	3
index-of-output:	3	actual-response:	”	number-of-repeats:	35
index-of-output:	4	actual-response:	I'll be	number-of-repeats:	4
index-of-output:	8	actual-response:	I'm not	number-of-repeats:	41
index-of-output:	15	actual-response:	I don't	number-of-repeats:	25
index-of-output:	17	actual-response:	I'm not."	number-of-repeats:	7
index-of-output:	20	actual-response:	tons.OK, Message	number-of-repeats:	2
index-of-output:	22	actual-response:	I'm not sure what	number-of-repeats:	8
index-of-output:	27	actual-response:	Yes, I	number-of-repeats:	9
index-of-output:	31	actual-response:	I'm a newbie	number-of-repeats:	2
index-of-output:	34	actual-response:	There is no	number-of-repeats:	11
index-of-output:	41	actual-response:	I'm glad	number-of-repeats:	3
index-of-output:	45	actual-response:	The conference will	number-of-repeats:	2
index-of-output:	52	actual-response:	setVisibility(View	number-of-repeats:	3
index-of-output:	53	actual-response:	I'm sorry	number-of-repeats:	15
index-of-output:	58	actual-response:	The United States	number-of-repeats:	5
index-of-output:	63	actual-response:	I'm not going to	number-of-repeats:	5
index-of-output:	65	actual-response:	I'll be right back	number-of-repeats:	2
index-of-output:	76	actual-response:	get(i).get	number-of-repeats:	2
index-of-output:	82	actual-response:	The author of	number-of-repeats:	4
index-of-output:	84	actual-response:	that.I	number-of-repeats:	2
index-of-output:	86	actual-response:	No, I	number-of-repeats:	5
index-of-output:	87	actual-response:	The only thing	number-of-repeats:	2
index-of-output:	97	actual-response:	The game is	number-of-repeats:	2
index-of-output:	99	actual-response:	The cost of	number-of-repeats:	2
index-of-output:	123	actual-response:	I want to	number-of-repeats:	2
index-of-output:	126	actual-response:	The following is	number-of-repeats:	5
index-of-output:	127	actual-response:	I’	number-of-repeats:	4
index-of-output:	132	actual-response:	The word "	number-of-repeats:	7
index-of-output:	142	actual-response:	Yes, we	number-of-repeats:	3
index-of-output:	152	actual-response:	I think you	number-of-repeats:	2
index-of-output:	153	actual-response:	I think that	number-of-repeats:	4
index-of-output:	177	actual-response:	I'm sorry."	number-of-repeats:	8
index-of-output:	183	actual-response:	I'm going	number-of-repeats:	3
index-of-output:	185	actual-response:	.I'm	number-of-repeats:	2
index-of-output:	197	actual-response:	Thank you.	number-of-repeats:	4
index-of-output:	209	actual-response:	He's a	number-of-repeats:	2
index-of-output:	213	actual-response:	The first thing	number-of-repeats:	3
index-of-output:	219	actual-response:	I had to	number-of-repeats:	2
index-of-output:	224	actual-response:	be there?"	number-of-repeats:	2
index-of-output:	228	actual-response:	"I'm	number-of-repeats:	4
index-of-output:	236	actual-response:	Yes.	number-of-repeats:	2
index-of-output:	248	actual-response:	There are a	number-of-repeats:	3
index-of-output:	249	actual-response:	Bianca	number-of-repeats:	2
index-of-output:	264	actual-response:	Let's go."	number-of-repeats:	2
index-of-output:	270	actual-response:	I was so	number-of-repeats:	2
index-of-output:	284	actual-response:	night.I	number-of-repeats:	2
index-of-output:	291	actual-response:	that?""	number-of-repeats:	4
index-of-output:	315	actual-response:	," she said.	number-of-repeats:	2
index-of-output:	319	actual-response:	But I'm not going	number-of-repeats:	2
index-of-output:	332	actual-response:	, I know. I	number-of-repeats:	2
index-of-output:	333	actual-response:	you.I	number-of-repeats:	2
index-of-output:	337	actual-response:	I'm fine."	number-of-repeats:	2
index-of-output:	381	actual-response:	This is a	number-of-repeats:	4
index-of-output:	414	actual-response:	I am not	number-of-repeats:	4
index-of-output:	452	actual-response:	I am a	number-of-repeats:	2
index-of-output:	461	actual-response:	I can't	number-of-repeats:	3
index-of-output:	518	actual-response:	There could be	number-of-repeats:	2
index-of-output:	740	actual-response:	Do you have	number-of-repeats:	4
index-of-output:	744	actual-response:	I am not a man	number-of-repeats:	2
index-of-output:	833	actual-response:	=null)	number-of-repeats:	2
index-of-output:	851	actual-response:	sure?""	number-of-repeats:	2
index-of-output:	873	actual-response:	Yes, you	number-of-repeats:	2
index-of-output:	923	actual-response:	The first step	number-of-repeats:	2
